modelo,fold,segmento,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
RF,1,programado,1355,2.15263358787927,7.214035676139365,0.7287620956741903,-1.0686169076364935,0.4915129151291513,3.763258835637152,0.6361623616236163,0.8634686346863468,0.9387453874538746,4.5690036900369,3.5003867824004073,14,79,57,0.7719298245614035,0.5569620253164557,0.6470588235294117,0.9645756457564576,1263,13,35,44
RF,2,programado,1355,1.9930358340040728,6.527667581288786,0.6885391649173682,-0.7134038563441929,0.45977859778597785,3.3462556791782054,0.6671586715867158,0.8745387453874539,0.940959409594096,4.238376383763837,3.524972527419645,14,80,68,0.7352941176470589,0.625,0.6756756756756757,0.9645756457564576,1257,18,30,50
RF,3,programado,1354,2.395093725653504,8.421393116214789,0.7627508612543549,-1.2020022061728761,0.4881831610044313,4.193641691566695,0.6277695716395865,0.8552437223042836,0.9364844903988183,4.737075332348597,3.5350731261757207,14,79,58,0.8448275862068966,0.620253164556962,0.7153284671532847,0.9711964549483013,1266,9,30,49
RF,4,programado,1354,2.235380109885023,8.276091333821475,0.6873183773650992,-1.0531478161802263,0.44091580502215655,3.879644072917648,0.6521418020679468,0.8611521418020679,0.9357459379615952,4.458641063515509,3.405493247335283,14,79,56,0.7678571428571429,0.5443037974683544,0.637037037037037,0.9638109305760709,1262,13,36,43
RF,5,programado,1354,1.8147090815124738,5.235883389506976,0.693757901797156,-0.7990873926324628,0.46824224519940916,3.1216073185849416,0.670605612998523,0.8788774002954209,0.947562776957164,4.1063515509601185,3.3072641583276554,14,79,49,0.8367346938775511,0.5189873417721519,0.640625,0.96602658788774,1267,8,38,41
RF,1,urgente,558,5.731751833952336,13.830630462018863,2.5520968622757856,-2.555745041414416,0.5017921146953405,9.87550027163571,0.26523297491039427,0.553763440860215,0.8046594982078853,11.010752688172044,8.455007646757629,14,144,86,0.8604651162790697,0.5138888888888888,0.6434782608695652,0.8530465949820788,402,12,70,74
RF,2,urgente,558,6.164556825445269,12.78288204521879,2.8035636572587,-3.214379083600037,0.5340501792114696,10.854024779967922,0.23476702508960573,0.521505376344086,0.7598566308243727,11.514336917562725,8.299957833962686,14,144,90,0.8,0.5,0.6153846153846154,0.8387096774193549,396,18,72,72
RF,3,urgente,558,6.454077927506611,12.935800469534119,2.825924575222186,-3.0145161455364966,0.5232974910394266,11.188374964028164,0.23118279569892472,0.5089605734767025,0.7473118279569892,12.012544802867383,8.998028657330886,14,145,99,0.7878787878787878,0.5379310344827586,0.6393442622950819,0.8422939068100358,392,21,67,78
RF,4,urgente,557,6.235738623153136,14.403863872795247,2.8981224072704954,-3.023011322344131,0.5116696588868941,10.865113595901768,0.24775583482944344,0.5098743267504489,0.7648114901256733,11.504488330341113,8.48147700799698,14,144,97,0.7422680412371134,0.5,0.5975103734439834,0.8258527827648114,388,25,72,72
RF,5,urgente,557,6.564471389299386,16.041656262523162,2.6057997957182018,-3.304296814992012,0.49371633752244165,11.498855491445084,0.24416517055655296,0.547576301615799,0.770197486535009,11.906642728904847,8.602345913912835,14,144,87,0.7816091954022989,0.4722222222222222,0.5887445887445887,0.829443447037702,394,19,76,68
XGB,1,programado,1355,2.0848192249496926,6.070391770402638,0.6859742403030396,-0.7226715872868401,0.4575645756457565,3.4885646310679586,0.640590405904059,0.8656826568265683,0.9328413284132842,4.5690036900369,3.8463321027500603,14,79,75,0.7333333333333333,0.6962025316455697,0.7142857142857143,0.9675276752767528,1256,20,24,55
XGB,2,programado,1355,1.88555596217898,5.999285324883734,0.650174617767334,-0.48036011681785445,0.4154981549815498,3.068514001677397,0.6575645756457564,0.8708487084870848,0.9453874538745387,4.238376383763837,3.758016266945983,14,80,63,0.746031746031746,0.5875,0.6573426573426574,0.9638376383763838,1259,16,33,47
XGB,3,programado,1354,2.17023632110838,7.120347138958605,0.7165542840957642,-1.0226955279113623,0.4623338257016248,3.766702245618251,0.6440177252584933,0.8604135893648449,0.9438700147710487,4.737075332348597,3.7143798044372343,14,79,64,0.8125,0.6582278481012658,0.7272727272727273,0.9711964549483013,1263,12,27,52
XGB,4,programado,1354,2.11062150097492,7.486878696901768,0.661043107509613,-0.8555868110857475,0.39364844903988183,3.593725657005254,0.655096011816839,0.8648449039881831,0.9387001477104875,4.458641063515509,3.603054252429762,14,79,67,0.7761194029850746,0.6582278481012658,0.7123287671232876,0.9689807976366323,1260,15,27,52
XGB,5,programado,1354,1.7163406066387408,4.652043809644716,0.6127744019031525,-0.708038371634096,0.46454948301329396,2.928530095775159,0.6646971935007385,0.8862629246676514,0.947562776957164,4.1063515509601185,3.3983131793260224,14,79,59,0.8305084745762712,0.620253164556962,0.7101449275362318,0.9704579025110783,1265,10,30,49
XGB,1,urgente,558,5.477547367413838,11.174090579390768,2.310844302177429,-1.913555746437401,0.5017921146953405,9.173098924339458,0.25627240143369173,0.5842293906810035,0.7867383512544803,11.010752688172044,9.097196941734643,14,144,100,0.83,0.5763888888888888,0.680327868852459,0.8602150537634409,397,17,61,83
XGB,2,urgente,558,5.681230812623936,11.047727616432777,2.562139868736267,-2.5976457195256346,0.532258064516129,9.820669078698723,0.25089605734767023,0.53584229390681,0.7724014336917563,11.514336917562725,8.916691198037089,14,144,104,0.7884615384615384,0.5694444444444444,0.661290322580645,0.8494623655913979,392,22,62,82
XGB,3,urgente,558,5.862786727994147,10.611554233325194,2.7118773460388184,-2.265504161516825,0.5053763440860215,9.926932172749632,0.25268817204301075,0.5268817204301075,0.7419354838709677,12.012544802867383,9.747040641350559,14,145,122,0.7704918032786885,0.6482758620689655,0.7041198501872659,0.8584229390681004,385,28,51,94
XGB,4,urgente,557,5.906179914247626,12.844096744411223,2.5920915603637695,-2.0736633822776684,0.5080789946140036,9.896101562510273,0.26032315978456017,0.5368043087971275,0.7576301615798923,11.504488330341113,9.430824948063444,14,144,123,0.6991869918699187,0.5972222222222222,0.644194756554307,0.829443447037702,376,37,58,86
XGB,5,urgente,557,6.022589473792852,13.550769019978336,2.5062484741210938,-2.1387377619957366,0.4829443447037702,10.103253091687145,0.2621184919210054,0.5529622980251346,0.7881508078994613,11.906642728904847,9.76790496690911,14,144,110,0.7727272727272727,0.5902777777777778,0.6692913385826771,0.8491921005385996,388,25,59,85
